,Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label,L7Protocol,ProtocolName
0,172.19.1.46-10.200.7.7-52422-3128-6,172.19.1.46,52422,10.200.7.7,3128,6,26/04/201711:11:17,45523,22,55,132,110414.0,6,6,6.0,0.0,4380,1187,2007.52727272727,768.481688606766,2428354.89752433,1691.45267227555,598.986842105263,816.061345625782,3880.0,1,45523.0,2167.76190476191,1319.3845119889,5988.0,698.0,41178.0,762.555555555556,1230.34821987044,5133.0,1.0,0,0,0,0,440,1100,483.272192078729,1208.1804801968199,6,4380,1417.33333333333,1121.57919356855,1257939.88744589,0,0,0,0,1,0,0,0,2,1435.74025974026,6.0,2007.52727272727,440,0,0,0,0,0,0,22,132,55,110414,256,490,21,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,131,HTTP_PROXY
1,172.19.1.46-10.200.7.7-52422-3128-6,10.200.7.7,3128,172.19.1.46,52422,6,26/04/201711:11:17,1,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,490,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,131,HTTP_PROXY
2,10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,1,3,0,674,0.0,337,0,224.666666666667,194.567040716904,0,0,0.0,0.0,674000000.0,3000000.0,0.5,0.707106781186548,1.0,0,1.0,0.5,0.707106781186548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,96,0,3000000.0,0.0,0,337,252.75,168.5,28392.25,0,1,0,0,1,0,0,0,0,337.0,224.666666666667,0.0,96,0,0,0,0,0,0,3,674,0,0,888,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,7,HTTP
3,10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,217,1,3,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18433.1797235023,72.3333333333333,62.6604606856136,110.0,0,0.0,0.0,0.0,0.0,0.0,107.0,53.5,75.6604255869606,107.0,0.0,0,0,0,0,32,96,4608.29493087558,13824.884792626699,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,3,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,888,490,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,7,HTTP
4,192.168.72.43-10.200.7.7-55961-3128-6,192.168.72.43,55961,10.200.7.7,3128,6,26/04/201711:11:17,78068,5,0,1076,0.0,529,6,215.2,286.458897575202,0,0,0.0,0.0,13782.855971717,64.0467284931086,19517.0,25758.5023503567,54313.0,0,78068.0,19517.0,25758.5023503567,54313.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,100,0,64.0467284931086,0.0,6,529,267.5,286.458897575202,82058.7,0,1,0,0,1,0,0,0,0,321.0,215.2,0.0,100,0,0,0,0,0,0,5,1076,0,0,253,-1,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,131,HTTP_PROXY
5,172.19.1.56-10.200.7.6-50004-3128-6,10.200.7.6,3128,172.19.1.56,50004,6,26/04/201711:11:17,105069,136,0,313554,0.0,5840,6,2305.5441176470604,1220.82240567061,0,0,0.0,0.0,2984267.48136939,1294.38749773958,778.288888888889,4540.4243668236295,51842.0,0,105069.0,778.288888888889,4540.4243668236295,51842.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2720,0,1294.38749773958,0.0,6,5840,2299.3722627737197,1218.46913962767,1484667.04422499,0,0,0,0,1,0,0,0,0,2316.27941176471,2305.5441176470604,0.0,2720,0,0,0,0,0,0,136,313554,0,0,254,-1,135,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,131,HTTP_PROXY
6,192.168.72.43-10.200.7.7-55963-3128-6,192.168.72.43,55963,10.200.7.7,3128,6,26/04/201711:11:17,104443,5,0,1076,0.0,529,6,215.2,286.458897575202,0,0,0.0,0.0,10302.2701377785,47.8730024989707,26110.75,31559.206151560098,63644.0,0,104443.0,26110.75,31559.206151560098,63644.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,100,0,47.8730024989707,0.0,6,529,267.5,286.458897575202,82058.7,0,1,0,0,1,0,0,0,0,321.0,215.2,0.0,100,0,0,0,0,0,0,5,1076,0,0,253,-1,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,131,HTTP_PROXY
7,192.168.10.47-10.200.7.6-51848-3128-6,192.168.10.47,51848,10.200.7.6,3128,6,26/04/201711:11:17,11002,3,12,232,3664.0,226,0,77.3333333333333,128.784056984292,3628,0,305.33333333333303,1046.3728983609199,354117.433193965,1363.38847482276,785.8571428571429,2099.11841778117,7865.0,0,10012.0,5006.0,4043.23657482468,7865.0,2147.0,10788.0,980.727272727273,2880.8649080062396,9625.0,0.0,0,0,0,0,72,300,272.677694964552,1090.71077985821,0,3628,243.5,904.250555248194,817669.066666667,0,0,0,1,0,0,0,0,4,259.733333333333,77.3333333333333,305.33333333333303,72,0,0,0,0,0,0,3,232,12,3664,8192,245,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,130,HTTP_CONNECT
8,10.200.7.217-68.67.178.197-57300-443-6,68.67.178.197,443,10.200.7.217,57300,6,26/04/201711:11:17,108503,10,6,6904,1302.0,1448,0,690.4,660.894209049796,1302,0,217.0,531.5392741839499,75629.2452743242,147.461360515377,7233.53333333333,22428.903794201,87416.0,0,98566.0,10951.777777777801,32194.056119794,96790.0,0.0,99128.0,19825.6,39101.3113373452,89362.0,0.0,1,0,0,0,320,216,92.1633503221109,55.2980101932665,0,1448,497.882352941176,624.762142974522,390327.73529411794,0,1,0,0,1,0,0,0,0,529.0,690.4,217.0,320,0,0,0,0,0,0,10,6904,6,1302,60,1000,7,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,91,SSL
9,192.168.72.43-10.200.7.7-55977-3128-6,192.168.72.43,55977,10.200.7.7,3128,6,26/04/201711:11:17,118415,7,0,2210,0.0,1096,0,315.714285714286,533.043373559074,0,0,0.0,0.0,18663.1761178905,59.1141325001056,19735.8333333333,46768.324525972304,115185.0,1,118415.0,19735.8333333333,46768.324525972304,115185.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,164,0,59.1141325001056,0.0,0,1096,276.25,505.968307872567,256003.928571429,0,0,0,1,0,0,0,0,0,315.714285714286,315.714285714286,0.0,164,0,0,0,0,0,0,7,2210,0,0,8192,-1,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,126,GOOGLE
